Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Farm Scale,Galt,Sacramento,Covered Lagoon,Dairy,,900,,,33000,552802,Electricity,,,Yes
Farm Scale,Lemoore,Kings,Horizontal Plug Flow,Dairy,,1100,,,42740,500991,Cogeneration,Pacific Gas and Electric Company,,
Centralized/Regional,Chino,San Bernardino,Horizontal Plug Flow,Dairy,,3225,,,108077,4931880,Electricity,,,
Centralized/Regional,Ontario,San Bernardino,Complete Mix,Dairy,,,,,,7446000,Electricity,,,
Farm Scale,Tulare,Tulare,Horizontal Plug Flow,Dairy,,2000,,,44193,615755,Electricity,,,
Farm Scale,Durham,Butte,Horizontal Plug Flow,Dairy,,750,,,30000,300000,Cogeneration,Pacific Gas and Electric Company,,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,2640,,,55000,,Flared Full-time,,,
Farm Scale,El Mirage,San Bernardino,Horizontal Plug Flow,Dairy,,2000,,,87000,353000,Electricity,,,
Farm Scale,Galt,Sacramento,Complete Mix,Dairy,,1700,,,90000,1830000,Electricity,SMUD (Sacramento Utility District),,
Farm Scale,Tulare,Tulare,Covered Lagoon,Swine,,,,7500,94500,744600,Cogeneration,Southern California Edison,,
Farm Scale,Petaluma,Sonoma,Covered Lagoon,Dairy,,240,,,12000,350400,Cogeneration; Refrigeration,,,
Farm Scale,Elk Grove,Sacramento,Covered Lagoon,Dairy,,900,,,113000,1599070,Electricity,Sacramento Municipal Utility District (SMUD),,Yes
Farm Scale,Lakeside,San Diego,Horizontal Plug Flow,Dairy,,550,,,,,,,,
Farm Scale,Lakeside,San Diego,Horizontal Plug Flow,Dairy,,624,,,33935,489465,Electricity,,,
Farm Scale,Riverdale,Fresno,Covered Lagoon,Dairy,,5000,,,300000,,Pipeline Gas,Pacific Gas and Electric Company,,
Centralized/Regional,Eaton,Weld,Complete Mix,Other Farm Type,,,,,,,Pipeline Gas,Colorado Interstate Gas Company,,
Farm Scale,North Franklin,New London,Complete Mix,Dairy,,600,,,42500,462500,Electricity,,,
Farm Scale,Baxley,Appling,Mixed Plug Flow,Dairy,,1135,,,58000,263840,Electricity; Boiler/Furnace fuel,,,Yes
Farm Scale,Central City,Linn,Horizontal Plug Flow,Dairy,,380,,,,394200,Electricity,,,
Farm Scale,Riceville,Howard,Mixed Plug Flow,Cattle; Swine,5000,,,4000,,5000000,Electricity,,,Yes
Farm Scale,Mt. Pleasant,Henry,Unknown or Unspecified,Swine,,,,1150,,,Flared Full-time,,,
Farm Scale,Thayer,Union,Complete Mix,Swine,,,,5000,,473040,Electricity,,,
Farm Scale,,,Complete Mix,Swine,,,,5000,,,Electricity,,,
Farm Scale,Wendell,Gooding,Induced Blanket Reactor,Dairy,,,,,,,Pipeline Gas,,,
Farm Scale,Rupert,Minidoka,Induced Blanket Reactor,Dairy,,2900,,,55700,,Pipeline Gas,Intermountain Gas,,
Farm Scale,Elmwood,Peoria,Horizontal Plug Flow,Dairy,,1400,,,,1524240,Cogeneration,AmerenCILCO,,
Farm Scale,Freeport,Stephenson,Mixed Plug Flow,Dairy,,650,,,,893520,Electricity,Commonwealth Edison,,
Farm Scale,Fair Oaks,Jasper,Vertical Plug Flow,Dairy,,3000,,,200000,5212200,Electricity,,,
Research,Bowling Green,Warren,Plug Flow - Unspecified,Dairy,,30,,,,,Flared Full-time,,,
Farm Scale,Colora,Cecil,Covered Lagoon,Dairy,,656,,,19334,430000,Electricity,,,Yes
Farm Scale,Sturgis,St. Joseph,Horizontal Plug Flow,Dairy,,720,,,53500,620000,Electricity,,,
Centralized/Regional,Fremont,Newaygo,Complete Mix,Swine,,,,,1000000,22338000,Electricity,Consumers Energy Company,,
Centralized/Regional,Lowell,Kent,Complete Mix,Dairy,,1770,,,,,Electricity,Lowell Light & Power,,
Multiple Farm/Facility,Altura,Winona,Complete Mix,Dairy,,1070,,,146430,59831,Cogeneration,Xcel Energy,,Yes
Farm Scale,Hancock,Stevens,Mixed Plug Flow,Dairy,,5520,,,,12088800,Cogeneration,Otter Tail Power,,
Farm Scale,Brooten,Stearns,Induced Blanket Reactor,Dairy,,270,,,,156950,Electricity,,,Yes
Farm Scale,Morris,Stevens,Mixed Plug Flow,Dairy,,7665,,,,15859980,Electricity,,,Yes
Farm Scale,Morris,Stevens,Mixed Plug Flow,Dairy,,6300,,,,15859980,Electricity,,,Yes
Farm Scale,Green City,Sullivan,Covered Lagoon,Swine,,,,107000,,,Boiler/Furnace fuel,,,
Farm Scale,Piney Woods,Rankin,Covered Lagoon,Swine,,,,145,,35040,Electricity,,,
Farm Scale,Osyka,Pike,Complete Mix,Poultry,,,120000,,,1489200,Electricity,,,Yes
Farm Scale,Princeton,Johnston,Complete Mix,Poultry,,,70000,,42000,520000,Electricity,,,
Farm Scale,Greenville,Pitt,Fixed Film/Attached Media,Swine,,,,12000,,989880,Electricity,,,Yes
Farm Scale,Kenansville,Duplin,Covered Lagoon,Swine,,,,9792,41879,744600,Electricity,,,
Farm Scale,Fremont,Wayne,Covered Lagoon,Swine,,,,,,,,Duke Energy,,
Farm Scale,Mead,Saunders,Complete Mix,Cattle,28000,,,,,,Boiler/Furnace fuel,,,
Farm Scale,Dodge,Colfax,Complete Mix,Swine,,,,7500,35000,730000,Cogeneration; CNG,Nebraska Public Power District (NPPD),,Yes
Farm Scale,La Mesa,Do±a Ana,Anaerobic Sequencing Batch Reactor,Dairy,,,,,,,Electricity,,,
Farm Scale,Cooperstown,Otsego,Complete Mix,Dairy,,270,,,25000,325000,Cogeneration,,,
Farm Scale,Aquebogue,Suffolk,Complete Mix,Poultry,,,130000,,,,Electricity,,,
Farm Scale,Newark,Wayne,Horizontal Plug Flow,Dairy,,1500,,,,,Boiler/Furnace fuel,,,
Farm Scale,Perry,Wyoming,Horizontal Plug Flow,Dairy,,1200,,,110400,1305240,Cogeneration,New York State Electric and Gas (NYSEG),,Yes
Farm Scale,East Jewett,Greene,Fixed Film/Attached Media,Dairy,,100,,,,,Boiler/Furnace fuel,,,
Farm Scale,Homer,Cortland,Complete Mix,Dairy,,1100,,,,,Cogeneration; Boiler/Furnace fuel,New York State Electric and Gas (NYSEG),,
Farm Scale,Homer,Cortland,Horizontal Plug Flow,Dairy,,850,,,,521220,Cogeneration; Boiler/Furnace fuel,,,
Farm Scale,LINWOOD,Livingston,Horizontal Plug Flow,Dairy,,3700,,,111000,788400,Cogeneration,,,
Farm Scale,Auburn,Cayuga,Complete Mix,Dairy,,1900,,,173300,3092280,Cogeneration,,,Yes
Farm Scale,Schodack,Rensselaer,Covered Lagoon,Dairy,,236,,,6000,219000,Electricity,,,
Research,Morrisville,Madison,Horizontal Plug Flow,Dairy,,505,,,23320,342654,Cogeneration,,,
Farm Scale,Napoleon,Henry,Complete Mix,Dairy,,,,,121295,22000000,Cogeneration,American Municipal Power,,
Farm Scale,Salem,Marion,Complete Mix,Dairy,,350,,,,306600,Cogeneration,,,
Farm Scale,Cloverdale,Tillamook,Horizontal Plug Flow,Dairy,,1000,,,42000,744600,Electricity,,,
Centralized/Regional,Tillamook,Tillamook,Complete Mix,Dairy,,5000,,,,8935200,Cogeneration,Tillamook Public Utility District,,
Farm Scale,Boardman,Morrow,Fixed Film/Attached Media,Dairy,,1200,,,80000,,Boiler/Furnace fuel,,,
Farm Scale,Somerset,Somerset,Plug Flow - Unspecified,Poultry,,,72000,,28000,365000,,,,
Farm Scale,Lancaster,Lancaster,Horizontal Plug Flow,Swine,,,,1000,60000,967980,Cogeneration,,,
Farm Scale,Pitman,Schuykill,Complete Mix,Cattle; Poultry,1000,,120000,,,386316,Cogeneration,,,
Farm Scale,White,Brookings,Covered Lagoon,Dairy,,1150,,,,,Flared Full-time,,,
Farm Scale,Hico,Hamilton,Covered Lagoon,Dairy,,980,,,47000,700800,Cogeneration,,,
Centralized/Regional,Stephenville,Erath,Complete Mix,Dairy,,10000,,,2739726,,Pipeline Gas,Lower Colorado River Authority (to to Sept 08); PG&E (from Oct 08); Alcor Energy gets thermal energy,,
Farm Scale,Godley,Johnson,Horizontal Plug Flow,Dairy,,455,,,14000,208000,Cogeneration,,,
Multiple Farm/Facility,Milford,Beaver,Covered Lagoon,Swine,,,,220000,,23827200,Electricity,Pine Valley Electric,,
Farm Scale,South Boston,Halifax,Covered Lagoon,Swine,,,,3000,12000,163000,Electricity,,,
Research,Charlotte,Chittenden,Modular Plug Flow,Dairy,,160,,,5000,148920,Cogeneration,Green Mountain Power,,
Farm Scale,Middlebury,Addison,Horizontal Plug Flow,Dairy,,380,,,37500,480000,Electricity; Cogeneration,,,
Farm Scale,Greensboro,Orleans,Complete Mix,Dairy,,450,,,,723000,Cogeneration,Hardwick Electric Company,,
Farm Scale,Hyde Park,Lamoille,Complete Mix,Dairy,,350,,,33450,223380,Cogeneration,Vermont Electric Cooperative,,
Farm Scale,Stowe,Lamoille,Modular Plug Flow,Dairy,,120,,,5000,87600,Cogeneration,Stowe Electric,,
Farm Scale,Randolph Center,Orange,Unknown or Unspecified,Dairy,,60,,,,,,,,
Farm Scale,Shelburne,Chittenden,Vertical Plug Flow,Dairy,,250,,,,483990,Cogeneration,,,
Farm Scale,Williston,Chittenden,Fixed Film/Attached Media,Dairy,,250,,,,,Boiler/Furnace fuel,,,
Farm Scale,Franklin,Franklin,Complete Mix,Dairy,,450,,,,1340280,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),,Yes
Farm Scale,Randolph Center,Orange,Complete Mix,Dairy,,,,,,2280000,Cogeneration,Green Mountain Power (GMP) (formerly Central Vermont Public Service (CVPS)),,
Farm Scale,Carnation,Ling,Microdigester,Poultry,,,,,,,Electricity,,,Yes
Farm Scale,Markesan,Green Lake,Mixed Plug Flow,Dairy,,1100,,,,1489200,Cogeneration,"Alliant Energy, Inc.",,
Farm Scale,Emerald,St. Croix,Mixed Plug Flow,Dairy,,1600,,,,819060,Cogeneration,,,Yes
Farm Scale,Malone,Fond du Lac,Mixed Plug Flow,Dairy,,2550,,,,2562409,Cogeneration,"WE Energies, Inc.",,Yes
Farm Scale,Franksville,Racine,Complete Mix,Poultry,,,500000,,,188902,Electricity,,,
Farm Scale,Rice Lake,Barron,Complete Mix,Dairy,,1240,,,2908000,6450000,Electricity,Dairyland Power Cooperative; Barron Electric,,Yes
Farm Scale,Weyauwega,Waupaca,Mixed Plug Flow,Dairy,,1200,,,,3350700,Cogeneration,"WE Energies, Inc.",,Yes
Farm Scale,Denmark,Brown,Horizontal Plug Flow,Dairy,,1000,,,,946080,Electricity,Wisconsin Public Service Corporation,,
Farm Scale,Wrightstown,Jackson,Fixed Film/Attached Media,Dairy,,1800,,,200000,5584500,Electricity; Boiler/Furnace fuel,,,
Farm Scale,Chaseburg,Vernon,Complete Mix,Dairy,,200,,,23000,,Electricity,Dairyland Power Cooperative,,
Farm Scale,Wheatland,Platte,Complete Mix,Swine,,,,18000,,1340280,Electricity,,,
