Project Type,City,County,Digester Type,Animal/Farm Type(s),Cattle,Dairy,Poultry,Swine,Biogas Generation Estimate (cu-ft/day),Electricity Generated (kWh/yr),Biogas End Use(s),Receiving Utility,Total Emission Reductions (MTCO2e/yr),Awarded USDA Funding?
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,6500,,,325000,,CNG,Pacific Gas and Electric,57795.01584,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,8100,,,405000,,CNG,,72021.48128,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,5000,,,250000,6000000,Electricity; CNG,,33545.30591,
Farm Scale,Galt,Sacramento,Covered Lagoon,Dairy,,1700,,,90000,1830000,Electricity,SMUD (Sacramento Utility District),14597.76594,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,SoCalGas,57795.01584,
Farm Scale,Hilmar,Merced,Covered Lagoon,Dairy,,2000,,,100000,,CNG,Pacific Electricty and Gas,17783.0818,
Farm Scale,Stevinson,Merced,Covered Lagoon,Dairy,,2000,,,100000,,CNG,Pacific Gas and Electric,17783.0818,
Farm Scale,Riverdale,Fresno,Covered Lagoon,Dairy,,4000,,,,6464301,Electricity,Pacific Gas and Electric Company,40176.39964,
Farm Scale,Corcoran,Kings,Covered Lagoon,Dairy,,8000,,,,,Electricity,Pacific Gas and Electric Company,76770.68857,
Centralized/Regional,Pixley,Tulare,Mixed Plug Flow,Dairy,,2500,,,,9709000,Cogeneration,,29091.20828,Yes
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,11209,,,,,CNG,SoCalGas,99665.28193,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,6500,,,325000,,CNG,SoCalGas,57795.01584,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,6600,,,330000,,CNG,,58684.16993,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,9300,,,465000,,CNG,,88032.93588,
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Chowchilla,Madera,Covered Lagoon,Dairy,,,,,,,CNG,,,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,2000,,,100000,,CNG,,17783.0818,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,4500,,,225000,,CNG,,40011.93404,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,13800,,,,,CNG,SoCalGas,122703.2644,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,6700,,,335000,,CNG,,59573.32402,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,6640,,,,,CNG,SoCalGas,59039.83157,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,,,,,,CNG,,,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,2655,,,,,CNG,SoCalGas,23607.04109,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,,,,,,CNG,,,
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Riverdale,Fresno,Mixed Plug Flow,Dairy,,1700,,,,,Electricity,,,
Farm Scale,Ceres,Stanislaus,Covered Lagoon,Dairy,,2000,,,100000,,CNG,Pacific Gas and Electric,17783.0818,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,6800,,,340000,,CNG,,65804.08363,
Farm Scale,Tulare,Tulare,Covered Lagoon,Dairy,,4700,,,235000,,CNG,,41790.24222,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,2200,,,110000,,CNG,SoCalGas,19561.38998,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,6500,,,325000,,CNG,SoCalGas,57795.01584,
Farm Scale,Shafter,Kern,Covered Lagoon,Dairy,,4000,,,200000,,CNG,,35566.16359,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,2100,,,,,CNG,SoCalGas,18672.23589,
Farm Scale,Buttonwillow,Kern,Covered Lagoon,Dairy,,6500,,,325000,,CNG,,57795.01584,
Farm Scale,Madera,Madera,Covered Lagoon,Dairy,,9500,,,475000,,Electricity,PG&E,95152.84958,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,10600,,,,,CNG,,94250.33352,
Farm Scale,Marshall,Marin,Covered Lagoon,Dairy,,417,,,14832,345600,Cogeneration,,3413.431453,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,10400,,,520000,,CNG,,97813.63087,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,5200,,,260000,,CNG,,51577.6182,
Farm Scale,Ceres,Stanislaus,Covered Lagoon,Dairy,,5200,,,260000,,CNG,Pacific Gas and Electric,37728.77122,
Farm Scale,Visalia,Tulare,Covered Lagoon,Dairy,,2100,,,105000,,CNG,,18672.23589,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,3300,,,165000,,CNG,,29342.08497,
Farm Scale,Tipton,Tulare,Covered Lagoon,Dairy,,2631,,,,5439007,Electricity,Southern California Edison,27272.65687,Yes
Farm Scale,Helm,Fresno,Covered Lagoon,Dairy,,6500,,,325000,,CNG,Pacific Gas and Electric,57795.01584,
Farm Scale,Riverdale,Fresno,Covered Lagoon,Dairy,,6500,,,325000,,CNG,Pacific Gas and Electric,57795.01584,
Farm Scale,Elk Grove,Sacramento,Covered Lagoon,Dairy,,700,,,,,Electricity,SMUD,3833.722624,Yes
Farm Scale,Galt,Sacramento,Covered Lagoon,Dairy,,1810,,,,2190000,Electricity; Cogeneration,SMUD,14009.60137,
Farm Scale,Pixley,Tulare,Covered Lagoon,Dairy,,10560,,,,,CNG,SoCalGas,93894.67189,
Farm Scale,Merced,Merced,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Riverdale,Fresno,Covered Lagoon,Dairy,,5100,,,255000,,CNG,Pacific Gas and Electric,45346.85858,
Farm Scale,Hanford,Kings,Covered Lagoon,Dairy,,17900,,,,,Electricity,Pacific Gas and Electric Company,151479.9545,
Farm Scale,Madera,Madera,Covered Lagoon,Dairy,,4500,,,,,Electricity,Pacific Gas and Electric Company,43844.22115,
Farm Scale,Chowchilla,Madera,Covered Lagoon,Dairy,,,,,,,CNG,Pacific Gas and Electric Company,,
Farm Scale,Chowchilla,Madera,Mixed Plug Flow,Dairy,,14850,,,,,Pipeline to Electricity,Pacific Gas and Electric,,
Farm Scale,Bakersfield,Kern,Covered Lagoon,Dairy,,10300,,,515000,,CNG,,91582.87125,
Farm Scale,Wasco,Kern,Covered Lagoon,Dairy,,4000,,,200000,,CNG,,35566.16359,
